,team,home_tol,home_win,home_lose,away_tol,away_win,away_lose,pyhta_rate_tol,pyhta_rate_home,pyhta_rate_away,diff_tol,diff_home,diff_away,win_type,win_rate,pyhta_rate,diff_rate
1,Oregon State,26,5,21,29,4,25,0.257104356,0.263888032,0.251868418,-0.093467992,-0.071580339,-0.113937383,wrate_tol,0.163636364,0.257104356,-0.093467992
2,Oregon State,26,5,21,29,4,25,0.257104356,0.263888032,0.251868418,-0.093467992,-0.071580339,-0.113937383,wrate_home,0.192307692,0.263888032,-0.071580339
3,Oregon State,26,5,21,29,4,25,0.257104356,0.263888032,0.251868418,-0.093467992,-0.071580339,-0.113937383,wrate_away,0.137931034,0.251868418,-0.113937383
4,Iowa State,28,15,13,27,9,18,0.527747307,0.624969006,0.41420391,-0.091383671,-0.08925472,-0.080870577,wrate_tol,0.436363636,0.527747307,-0.091383671
5,Iowa State,28,15,13,27,9,18,0.527747307,0.624969006,0.41420391,-0.091383671,-0.08925472,-0.080870577,wrate_home,0.535714286,0.624969006,-0.08925472
6,Iowa State,28,15,13,27,9,18,0.527747307,0.624969006,0.41420391,-0.091383671,-0.08925472,-0.080870577,wrate_away,0.333333333,0.41420391,-0.080870577
7,Purdue,33,12,21,25,7,18,0.412595237,0.428455526,0.386222049,-0.08500903,-0.064819162,-0.106222049,wrate_tol,0.327586207,0.412595237,-0.08500903
8,Purdue,33,12,21,25,7,18,0.412595237,0.428455526,0.386222049,-0.08500903,-0.064819162,-0.106222049,wrate_home,0.363636364,0.428455526,-0.064819162
9,Purdue,33,12,21,25,7,18,0.412595237,0.428455526,0.386222049,-0.08500903,-0.064819162,-0.106222049,wrate_away,0.28,0.386222049,-0.106222049
10,Texas Tech,28,11,17,27,11,16,0.483796005,0.534810263,0.42196418,-0.083796005,-0.14195312,-0.014556773,wrate_tol,0.4,0.483796005,-0.083796005
11,Texas Tech,28,11,17,27,11,16,0.483796005,0.534810263,0.42196418,-0.083796005,-0.14195312,-0.014556773,wrate_home,0.392857143,0.534810263,-0.14195312
12,Texas Tech,28,11,17,27,11,16,0.483796005,0.534810263,0.42196418,-0.083796005,-0.14195312,-0.014556773,wrate_away,0.407407407,0.42196418,-0.014556773
13,UMass,26,7,19,30,4,26,0.277601614,0.376710709,0.202246287,-0.081173042,-0.10747994,-0.068912954,wrate_tol,0.196428571,0.277601614,-0.081173042
14,UMass,26,7,19,30,4,26,0.277601614,0.376710709,0.202246287,-0.081173042,-0.10747994,-0.068912954,wrate_home,0.269230769,0.376710709,-0.10747994
15,UMass,26,7,19,30,4,26,0.277601614,0.376710709,0.202246287,-0.081173042,-0.10747994,-0.068912954,wrate_away,0.133333333,0.202246287,-0.068912954
16,Ball State,25,6,19,30,7,23,0.31097159,0.36651925,0.26482625,-0.074607954,-0.12651925,-0.031492917,wrate_tol,0.236363636,0.31097159,-0.074607954
17,Ball State,25,6,19,30,7,23,0.31097159,0.36651925,0.26482625,-0.074607954,-0.12651925,-0.031492917,wrate_home,0.24,0.36651925,-0.12651925
18,Ball State,25,6,19,30,7,23,0.31097159,0.36651925,0.26482625,-0.074607954,-0.12651925,-0.031492917,wrate_away,0.233333333,0.26482625,-0.031492917
