,team,home_tol,home_win,home_lose,away_tol,away_win,away_lose,diff,win_type,win_rate,pyhta_rate
1,Oregon State,26,5,21,29,4,25,-0.093467992,wrate_tol,0.163636364,0.257104356
2,Oregon State,26,5,21,29,4,25,-0.093467992,wrate_home,0.192307692,0.263888032
3,Oregon State,26,5,21,29,4,25,-0.093467992,wrate_away,0.137931034,0.251868418
4,Iowa State,28,15,13,27,9,18,-0.091383671,wrate_tol,0.436363636,0.527747307
5,Iowa State,28,15,13,27,9,18,-0.091383671,wrate_home,0.535714286,0.624969006
6,Iowa State,28,15,13,27,9,18,-0.091383671,wrate_away,0.333333333,0.41420391
7,Purdue,33,12,21,25,7,18,-0.08500903,wrate_tol,0.327586207,0.412595237
8,Purdue,33,12,21,25,7,18,-0.08500903,wrate_home,0.363636364,0.428455526
9,Purdue,33,12,21,25,7,18,-0.08500903,wrate_away,0.28,0.386222049
10,Texas Tech,28,11,17,27,11,16,-0.083796005,wrate_tol,0.4,0.483796005
11,Texas Tech,28,11,17,27,11,16,-0.083796005,wrate_home,0.392857143,0.534810263
12,Texas Tech,28,11,17,27,11,16,-0.083796005,wrate_away,0.407407407,0.42196418
13,UMass,26,7,19,30,4,26,-0.081173042,wrate_tol,0.196428571,0.277601614
14,UMass,26,7,19,30,4,26,-0.081173042,wrate_home,0.269230769,0.376710709
15,UMass,26,7,19,30,4,26,-0.081173042,wrate_away,0.133333333,0.202246287
16,Ball State,25,6,19,30,7,23,-0.074607954,wrate_tol,0.236363636,0.31097159
17,Ball State,25,6,19,30,7,23,-0.074607954,wrate_home,0.24,0.36651925
18,Ball State,25,6,19,30,7,23,-0.074607954,wrate_away,0.233333333,0.26482625
19,Kansas,28,4,24,27,2,25,-0.072346604,wrate_tol,0.109090909,0.181437513
20,Kansas,28,4,24,27,2,25,-0.072346604,wrate_home,0.142857143,0.188667453
21,Kansas,28,4,24,27,2,25,-0.072346604,wrate_away,0.074074074,0.174352075
22,North Carolina,26,11,15,27,12,15,-0.072180407,wrate_tol,0.433962264,0.506142672
23,North Carolina,26,11,15,27,12,15,-0.072180407,wrate_home,0.423076923,0.540257126
