,school,talent,win_rate,conference
1,Air Force,151.86,0.818181818,Mountain West
2,Akron,312.81,0,Mid-American
3,Alabama,984.96,0.818181818,SEC
4,Appalachian State,412.32,0.916666667,Sun Belt
5,Arizona,570.07,0.272727273,Pac-12
6,Arizona State,686.44,0.545454545,Pac-12
7,Arkansas,707.72,0.090909091,SEC
8,Arkansas State,447.87,0.545454545,Sun Belt
9,Army,265.19,0.272727273,FBS Independents
10,Auburn,843.93,0.727272727,SEC
11,Ball State,327.92,0.363636364,Mid-American
12,Baylor,668.9,0.833333333,Big 12
13,Boise State,561.42,0.916666667,Mountain West
14,Boston College,564.95,0.454545455,ACC
15,Bowling Green,315.44,0.181818182,Mid-American
16,Buffalo,284.74,0.545454545,Mid-American
17,BYU,560.78,0.545454545,FBS Independents
18,California,611.58,0.545454545,Pac-12
19,Central Michigan,416.63,0.583333333,Mid-American
20,Charlotte,386.38,0.545454545,Conference USA
21,Cincinnati,576.61,0.769230769,American Athletic
22,Clemson,863.03,1,ACC
23,Coastal Carolina,305.73,0.363636364,Sun Belt
24,Colorado,614.27,0.416666667,Pac-12
25,Colorado State,518.83,0.272727273,Mountain West
26,Connecticut,412.55,0.090909091,American Athletic
27,Duke,633.24,0.363636364,ACC
28,East Carolina,468.23,0.2,American Athletic
29,Eastern Michigan,317.49,0.454545455,Mid-American
30,Florida,835.68,0.8,SEC
31,Florida Atlantic,524.02,0.75,Conference USA
32,Florida International,532.88,0.454545455,Conference USA
33,Florida State,878.07,0.454545455,ACC
34,Fresno State,482.79,0.272727273,Mountain West
35,Georgia,960.16,0.833333333,SEC
36,Georgia Southern,411.8,0.545454545,Sun Belt
37,Georgia State,369.05,0.545454545,Sun Belt
38,Georgia Tech,629.1,0.272727273,ACC
39,Hawai'i,420.99,0.615384615,Mountain West
40,Houston,597.62,0.272727273,American Athletic
41,Illinois,661.73,0.5,Big Ten
42,Indiana,603.81,0.636363636,Big Ten
43,Iowa,637.65,0.75,Big Ten
44,Iowa State,597.15,0.545454545,Big 12
45,Kansas,528.62,0.181818182,Big 12
46,Kansas State,543.49,0.636363636,Big 12
47,Kent State,313.22,0.454545455,Mid-American
48,Kentucky,672.74,0.545454545,SEC
49,Liberty,153.48,0.5,FBS Independents
50,Louisiana,406.49,0.75,Sun Belt
51,Louisiana Monroe,346.03,0.363636364,Sun Belt
52,Louisiana Tech,501.25,0.727272727,Conference USA
53,Louisville,645.84,0.545454545,ACC
54,LSU,906.17,1,SEC
55,Marshall,489.63,0.636363636,Conference USA
56,Maryland,703.94,0.181818182,Big Ten
57,Memphis,551.97,0.916666667,American Athletic
58,Miami,815.12,0.454545455,ACC
59,Miami (OH),359.14,0.583333333,Mid-American
60,Michigan,853.4,0.75,Big Ten
61,Michigan State,688.74,0.5,Big Ten
62,Middle Tennessee,450.79,0.272727273,Conference USA
